gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	proteinMW	Copies/Cell_MG1655.Glucose	g/Protein	cumulativeAbundance
PM0-46206	160605	160751	-1	promoter	[b0144, b0145]	160605	0						0.0	8302600132.490126
b0146	160782	161486	-1	gene		160782	0	P0A823	Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=3 SV=1	sfsA	26194.26751	29.440713690106396	771177.9300839662	8303371310.42021
PM0-3841	161487	161515	-1	promoter	[b0145, b0146]	161487	0						0.0	8303371310.42021
b0147	161501	162031	-1	gene		161515	0	P37025					5809958.571344681	8309181268.991554
b0148	162105	164534	1	gene		162105	0	P37024					5809958.571344681	8314991227.562899
PM0-9962	164721	164729	1	promoter	[b0149]	164721	0						0.0	8314991227.562899
b0149	164730	167264	1	gene		164730	0	P02919	Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2	mrcB	94215.38742	39.11173457121594	3684927.2252953174	8318676154.788194
PM00027	167442	167483	1	promoter	[b0150, b0151, b0152, b0153]	167442	0						0.0	8318676154.788194
b0150	167484	169727	1	gene		167484	0	P06971	Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2	fhuA	82113.29387	785.2455482783269	64479098.465887524	8383155253.254081
b0151	169778	170575	1	gene		169778	0	P07821	Iron(3+)-hydroxamate import ATP-binding protein FhuC OS=Escherichia coli (strain K12) GN=fhuC PE=1 SV=3	fhuC	28850.06916	3.602862848648474	103942.84235750309	8383259196.096438
b0152	170575	171465	1	gene		170575	0	P07822					5809958.571344681	8389069154.667783
b0153	171462	173444	1	gene		171465	0	P06972					5809958.571344681	8394879113.239127
b0154	173602	174882	-1	gene		173602	0	P23893	Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain K12) GN=hemL PE=1 SV=2	hemL	45318.36911	2373.9899643873723	107585353.4695427	8502464466.70867
PM0-10531	174883	174941	-1	promoter	[b0154]	174883	0						0.0	8502464466.70867
b0155	175107	176528	1	gene		175107	0	P37019					5809958.571344681	8508274425.280014
PM0-8916	176561	176609	1	promoter	[b0156]	176561	0						0.0	8508274425.280014
b0156	176610	176954	1	gene		176610	0	P0ACC3	Iron-sulfur cluster insertion protein erpA OS=Escherichia coli (strain K12) GN=erpA PE=1 SV=1	erpA	12074.75582	3626.067092616762	43783874.73028473	8552058300.010299
b0157	177001	177624	-1	gene		177001	0	P0AFP0					5809958.571344681	8557868258.581643
b0158	177662	178462	-1	gene		177662	0	P37028					5809958.571344681	8563678217.1529875
b0159	178455	179153	-1	gene		178462	0	P0AF12	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli (strain K12) GN=mtnN PE=1 SV=1	mtnN	24320.56199	2269.341324983614	55191656.37073272	8618869873.52372
PM0-9547	179154	179183	-1	promoter	[b0159, b0158, b0157]	179154	0						0.0	8618869873.52372
PM0-9548	179196	179236	1	promoter	[b0160]	179196	0						0.0	8618869873.52372
b0160	179237	180754	1	gene		179237	0	P15723					5809958.571344681	8624679832.095064
PM00327	180845	180883	1	promoter	[b0161]	180845	0						0.0	8624679832.095064
b0161	180884	182308	1	gene		180884	0	P0C0V0	Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1	degP	49305.44896	1927.073498567718	95015224.02579926	8719695056.120863
PM0-4741	182447	182462	1	promoter	[b0162]	182447	0						0.0	8719695056.120863
b0162	182463	183620	1	gene		182463	0	P37047	Carbohydrate diacid regulator OS=Escherichia coli (strain K12) GN=cdaR PE=1 SV=2	cdaR	43641.75186	0.07441001790241608	3247.3835371954	8719698303.5044
b0163	183709	184095	-1	gene		183709	0	P62768	UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1	yaeH	15068.91436	1165.3152540533895	17560035.76573217	8737258339.270132
b0164	184257	185069	-1	gene		184257	0	P37049					5809958.571344681	8743068297.841476
b0166	185123	185947	-1	gene		185123	0	P0A9D8	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain K12) GN=dapD PE=1 SV=1	dapD	29855.42579	11858.472352020932	354039741.2885277	9097108039.130005
PM00328	185948	185977	-1	promoter	[b0166]	185948	0						0.0	9097108039.130005
b0167	185978	188650	-1	gene		185978	0	P27249	[Protein-PII] uridylyltransferase OS=Escherichia coli (strain K12) GN=glnD PE=3 SV=2	glnD	102307.94	91.76747140200081	9388540.958147615	9106496580.088152
PM0-36128	188651	188655	-1	promoter	[b0167]	188651	0						0.0	9106496580.088152
b0168	188712	189506	-1	gene		188712	0	P0AE18	Methionine aminopeptidase OS=Escherichia coli (strain K12) GN=map PE=1 SV=1	map	29293.90197	1282.645503552765	37573691.64333598	9144070271.731487
PM0-9963	189712	189711	1	promoter	[b4414, b0169, b0170]	189712	1						0.0	9144070271.731487
b4414	189712	189847	1	gene		189712	0						5809958.571344681	9149880230.302832
b0169	189874	190599	1	gene		189874	0	P0A7V0	30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2	rpsB	26708.79452	33317.43192440545	889868443.2030333	10039748673.505865
b0170	190857	191708	1	gene		190857	0	P0A6P1	Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2	tsf	30385.76806	19987.307888894058	607329701.6557431	10647078375.161608
PM0-1181	191812	191854	1	promoter	[b0171]	191812	0						0.0	10647078375.161608
b0171	191855	192580	1	gene		191855	0	P0A7E9	Uridylate kinase OS=Escherichia coli (strain K12) GN=pyrH PE=1 SV=2	pyrH	25935.5313	660.1795533610393	17122107.469815254	10664200482.631424
PM0-46254	192814	192871	1	promoter	[b0172]	192814	0						0.0	10664200482.631424
b0172	192872	193429	1	gene		192872	0	P0A805	Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1	frr	20607.85322	4527.36173943702	93299206.20016201	10757499688.831587
b0173	193521	194717	1	gene		193521	0	P45568					5809958.571344681	10763309647.402931
PM0-9964	194784	194902	1	promoter	[b0174]	194784	0						0.0	10763309647.402931
b0174	194903	195664	1	gene		194903	0	P60472	Undecaprenyl pyrophosphate synthase OS=Escherichia coli (strain K12) GN=uppS PE=1 SV=1	uppS	28408.39075	36.42920314747611	1034895.0377246311	10764344542.440657
b0175	195677	196534	1	gene		195677	0	P0ABG1	Phosphatidate cytidylyltransferase OS=Escherichia coli (strain K12) GN=cdsA PE=1 SV=2	cdsA	31415.04641	58.87795682591817	1849653.7462121956	10766194196.186869
PM0-4462	196470	196545	1	promoter	[b0176]	196534	0						0.0	10766194196.186869
b0176	196546	197898	1	gene		196546	0	P0AEH1	Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	rseP	49022.40986	12.289088545788458	602440.7354974732	10766796636.922365
PM0-8756	197026	197927	1	promoter	[b0184, b0183, b0182, b0181, b0180, b0179, b0178, b0177]	197898	0						0.0	10766796636.922365
PM0-4444	197821	197927	1	promoter	[b0177]	197927	0						0.0	10766796636.922365
b0177	197928	200360	1	gene		197928	0	P0A940	Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1	yaeT	90478.46722	1957.299516124405	177093460.10938385	10943890097.03175
PM0-4386	200455	200481	1	promoter	[b0181, b0180, b0179, b0178]	200455	0						0.0	10943890097.03175
b0178	200482	200967	1	gene		200482	0	P0AEU7	Chaperone protein skp OS=Escherichia coli (strain K12) GN=skp PE=1 SV=1	skp	17659.27147	9611.78456321077	169737112.91289434	11113627209.944645
PM0-4424	200960	200970	1	promoter	[b0179]	200967	0						0.0	11113627209.944645
b0179	200971	201996	1	gene		200971	0	P21645	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase OS=Escherichia coli (strain K12) GN=lpxD PE=1 SV=2	lpxD	35997.37746	146.21142465568695	5263227.842295114	11118890437.78694
b0180	202101	202556	1	gene		202101	0	P0A6Q6	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabZ PE=1 SV=1	fabZ	17003.89284	4192.965235282929	71296731.54259631	11190187169.329536
b0181	202560	203348	1	gene		202560	0	P0A722	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Escherichia coli (strain K12) GN=lpxA PE=1 SV=1	lpxA	28044.39864	790.1442096735595	22159119.19917305	11212346288.52871
b0182	203348	204496	1	gene		203348	0	P10441	Lipid-A-disaccharide synthase OS=Escherichia coli (strain K12) GN=lpxB PE=1 SV=2	lpxB	42337.17116	24.241123927379313	1026300.6128242293	11213372589.141533
b0183	204493	205089	1	gene		204496	0	P10442	Ribonuclease HII OS=Escherichia coli (strain K12) GN=rnhB PE=1 SV=2	rnhB	21494.37992	12.021602288310127	258396.88683207924	11213630986.028364
b0184	205126	208608	1	gene		205126	0	P10443					5809958.571344681	11219440944.599709
PM0-46356	208326	208620	1	promoter	[b0185]	208608	0						0.0	11219440944.599709
b0185	208621	209580	1	gene		208621	0	P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	accA	35201.29042	3070.7607308437796	108094740.29676333	11327535684.896471
b0186	209679	211820	1	gene		209679	0	P52095					5809958.571344681	11333345643.467815
b0187	211877	212266	1	gene		211877	0	P52096	Uncharacterized protein yaeR OS=Escherichia coli (strain K12) GN=yaeR PE=4 SV=1	yaeR	14709.3447	88.72967441667858	1305155.3661136965	11334650798.83393
b0188	212331	213629	1	gene		212331	0	P52097					5809958.571344681	11340460757.405273
b0189	213678	213932	-1	gene		213678	0	P0AFW8	Protein rof OS=Escherichia coli (strain K12) GN=rof PE=1 SV=1	rof	9455.67371	926.1360230320909	8757240.044868495	11349217997.450142
b4406	213925	214125	-1	gene		213932	0	P0A8K5	UPF0253 protein yaeP OS=Escherichia coli (strain K12) GN=yaeP PE=1 SV=1	yaeP	7191.57041	506.3903655819483	3641741.969028222	11352859739.41917
PM0-36224	214126	214187	-1	promoter	[b4406, b0189]	214126	0						0.0	11352859739.41917
PM0-36225	214280	214290	1	promoter	[b0192, b0191, b0190]	214280	0						0.0	11352859739.41917
b0190	214291	214836	1	gene		214291	0	P0AA97					5809958.571344681	11358669697.990515
b0191	214833	215255	1	gene		214836	0	P40711					5809958.571344681	11364479656.56186
b0192	215269	215979	1	gene		215269	0	P40710					5809958.571344681	11370289615.133204
b0193	216179	217003	-1	gene		216179	0	P37056					5809958.571344681	11376099573.704548
b0194	217057	218775	-1	gene		217057	0	P16659	Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4	proS	63634.68294	3901.7934107440456	248289386.59007853	11624388960.294626
PM00329	218776	218837	-1	promoter	[b0194]	218776	0						0.0	11624388960.294626
b0195	218887	219594	-1	gene		218887	0	P28634	UPF0066 protein yaeB OS=Escherichia coli (strain K12) GN=yaeB PE=1 SV=2	yaeB	26327.69853	22.246532290280015	585699.9954764027	11624974660.290102
b0196	219591	219995	-1	gene		219594	0	P69411	Protein rcsF OS=Escherichia coli (strain K12) GN=rcsF PE=4 SV=1	rcsF	14136.20807	615.8425952336255	8705679.06459132	11633680339.354692
b0197	220113	220928	-1	gene		220113	0	P28635	D-methionine-binding lipoprotein metQ OS=Escherichia coli (strain K12) GN=metQ PE=1 SV=2	metQ	29395.54573	29248.962928058852	859789227.3068287	12493469566.661522
b0198	220968	221621	-1	gene		220968	0	P31547	D-methionine transport system permease protein metI OS=Escherichia coli (strain K12) GN=metI PE=1 SV=1	metI	23222.84957	354.56530299043874	8234016.694088429	12501703583.35561
b0199	221614	222645	-1	gene		221621	0	P30750	Methionine import ATP-binding protein MetN OS=Escherichia coli (strain K12) GN=metN PE=1 SV=4	metN	37746.71445	962.2299637808984	36321019.67807142	12538024603.033682
PM0-2482	222646	222714	-1	promoter	[b0197, b0198, b0199]	222646	0						0.0	12538024603.033682
PM0-9966	222806	222832	1	promoter	[b0200]	222806	0						0.0	12538024603.033682
b0200	222833	223408	1	gene		222833	0	P63228	D,D-heptose 1,7-bisphosphate phosphatase OS=Escherichia coli (strain K12) GN=gmhB PE=1 SV=1	gmhB	21262.52226	286.44508605314167	6090545.01847254	12544115148.052155
PM0-1349	223485	223770	1	promoter	[b0205, b0204, b0203, b0202, b0201]	223485	0						0.0	12544115148.052155
b0201	223771	225312	1	gene		223771	0						5809958.571344681	12549925106.623499
b0202	225381	225457	1	gene		225381	0						5809958.571344681	12555735065.194843
b0203	225500	225575	1	gene		225500	0						5809958.571344681	12561545023.766188
b0204	225759	228662	1	gene		225759	0						5809958.571344681	12567354982.337532
b0205	228756	228875	1	gene		228756	0						5809958.571344681	12573164940.908876
b0206	228928	229004	1	gene		228928	0						5809958.571344681	12578974899.48022
PM0-10442	229098	229166	1	promoter	[b0207]	229098	0						0.0	12578974899.48022
b0207	229167	229970	1	gene		229167	0	P30863	2,5-diketo-D-gluconic acid reductase B OS=Escherichia coli (strain K12) GN=dkgB PE=1 SV=2	dkgB	29400.44699	47.2494564713051	1389155.140290918	12580364054.620512
b0208	229967	230881	-1	gene		229970	0	P30864	Uncharacterized HTH-type transcriptional regulator yafC OS=Escherichia coli (strain K12) GN=yafC PE=1 SV=1	yafC	33736.61375	7.3631259571435175	248406.93640874987	12580612461.556921
PM0-9742	231064	231121	1	promoter	[b0210, b0209]	231064	0						0.0	12580612461.556921
b0209	231122	231922	1	gene		231122	0	P0A8U2					5809958.571344681	12586422420.128265
b0210	231926	232549	1	gene		231926	0	P30866					5809958.571344681	12592232378.69961
b0211	232597	233955	-1	gene		232597	0	P0AEZ7					5809958.571344681	12598042337.270954
b0212	234027	234782	-1	gene		234027	0	P0AC84	Hydroxyacylglutathione hydrolase OS=Escherichia coli (strain K12) GN=gloB PE=1 SV=1	gloB	28398.34858	203.60332871314833	5781998.30084431	12603824335.571798
b0213	234816	235538	1	gene		234816	0	P75672					5809958.571344681	12609634294.143143
b0214	235535	236002	-1	gene		235538	0	P0A7Y4	Ribonuclease HI OS=Escherichia coli (strain K12) GN=rnhA PE=1 SV=1	rnhA	17567.83941	15.079529322901369	264914.74952311727	12609899208.892666
PM00330	235934	236066	1	promoter	[b0215]	236002	0						0.0	12609899208.892666
PM00332	236003	236041	-1	promoter	[b0214]	236066	1						0.0	12609899208.892666
PM00331	236017	236066	1	promoter	[b0215]	236066	0						0.0	12609899208.892666
b0215	236067	236798	1	gene		236067	0	P03007	DNA polymerase III subunit epsilon OS=Escherichia coli (strain K12) GN=dnaQ PE=1 SV=1	dnaQ	27063.74021	20.079054332109514	543414.3101066869	12610442623.202772
PM00644	236913	236930	1	promoter	[b0216]	236913	0						0.0	12610442623.202772
b0216	236931	237007	1	gene		236931	0						5809958.571344681	12616252581.774117
b0217	237335	238120	1	gene		237335	0	P77339					5809958.571344681	12622062540.34546
b4586	238257	238736	-1	gene		238257	0	A5A605					5809958.571344681	12627872498.916805
b0218	238746	239102	-1	gene		238746	0	P77354					5809958.571344681	12633682457.48815
b4503	239106	239378	1	gene		239106	0						5809958.571344681	12639492416.059494
b0219	239419	240189	-1	gene		239419	0	Q47679	UPF0012 hydrolase yafV OS=Escherichia coli (strain K12) GN=yafV PE=3 SV=1	yafV	28888.47765	45.79070123458465	1322823.6491931262	12640815239.708687
PM0-9967	240190	240216	-1	promoter	[b0219]	240190	0						0.0	12640815239.708687
b0220	240343	240816	1	gene		240343	0	P0AD59	Inhibitor of vertebrate lysozyme OS=Escherichia coli (strain K12) GN=ivy PE=1 SV=1	ivy	16843.30219	1031.6256211139125	17375982.08336807	12658191221.792055
b0221	240859	243303	-1	gene		240859	0	Q47146	Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2	fadE	89149.78105	3.5657444402475647	317885.3361283252	12658509107.128183
PM0-9520	243304	243406	-1	promoter	[b0221]	243304	0						0.0	12658509107.128183
b0222	243543	244121	1	gene		243543	0	P63224	Phosphoheptose isomerase OS=Escherichia coli (strain K12) GN=gmhA PE=1 SV=1	gmhA	20783.61786	2575.9969695980526	53538536.62464396	12712047643.752827
b0223	244327	245094	1	gene		244327	0	Q47147	Putative glutamine amidotransferase yafJ OS=Escherichia coli (strain K12) GN=yafJ PE=4 SV=1	yafJ	28599.20568	68.56405184317745	1960877.420917215	12714008521.173744
b0224	245065	245805	-1	gene		245094	0	P0AA99					5809958.571344681	12719818479.745089
b0225	245961	246239	-1	gene		245961	0	Q47149					5809958.571344681	12725628438.316433
b0226	246242	246502	-1	gene		246242	0	Q47150	Antitoxin DinJ OS=Escherichia coli (strain K12) GN=dinJ PE=1 SV=1	dinJ	9381.99717	247.74496227892254	2324342.534982608	12727952780.851416
PM0-10350	246503	246615	-1	promoter	[b0226, b0225]	246503	0						0.0	12727952780.851416
b0227	246712	247461	1	gene		246712	0	Q47151					5809958.571344681	12733762739.42276
b0228	247637	248134	1	gene		247637	0	Q47152					5809958.571344681	12739572697.994104
b0229	248358	250070	-1	gene		248358	0						5809958.571344681	12745382656.565449
b0230	250072	250827	1	gene		250072	0						5809958.571344681	12751192615.136793
PM0-10387	250880	250897	1	promoter	[b0234, b0233, b0232, b0231]	250880	0						0.0	12751192615.136793
b0231	250898	251953	1	gene		250898	0	Q47155					5809958.571344681	12757002573.708138
PM0-9802	251969	252004	1	promoter	[b0234, b0233, b0232]	251969	0						0.0	12757002573.708138
b0232	252005	252298	1	gene		252005	0	Q47156					5809958.571344681	12762812532.279482
b0233	252301	252699	1	gene		252301	0	Q47157					5809958.571344681	12768622490.850826
b0234	252709	253161	1	gene		252709	0	Q47158					5809958.571344681	12774432449.42217
b0235	253479	253685	1	gene		253479	0						5809958.571344681	12780242407.993515
b0236	253702	254202	1	gene		253702	0						5809958.571344681	12786052366.56486
b0237	254259	255716	-1	gene		254259	0	P15288	Aminoacyl-histidine dipeptidase OS=Escherichia coli (strain K12) GN=pepD PE=1 SV=3	pepD	52864.14219	2408.851150683416	127341849.74427322	12913394216.309134
PM00334	255717	255809	-1	promoter	[b0237]	255717	0						0.0	12913394216.309134
PM0-10205	255914	255976	1	promoter	[b0238]	255914	0						0.0	12913394216.309134
b0238	255977	256435	1	gene		255977	0	P0A9M5	Xanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=gpt PE=1 SV=1	gpt	16941.77839	3099.9084284034	52517961.623303585	12965912177.932438
PM0-10206	256502	256526	1	promoter	[b0239]	256502	0						0.0	12965912177.932438
b0239	256527	257771	1	gene		256527	0	P04335	Esterase frsA OS=Escherichia coli (strain K12) GN=frsA PE=3 SV=2	frsA	46960.55542	104.35474633129554	4900556.848430846	12970812734.780869
PM0-9747	257810	257828	1	promoter	[b0240]	257810	0						0.0	12970812734.780869
b0240	257829	259006	1	gene		257829	0	P24251	Sigma factor-binding protein crl OS=Escherichia coli (strain K12) GN=crl PE=1 SV=5	crl	15626.98076	136.39574493837796	2131453.6818978996	12972944188.462767
b0241	259045	260100	-1	gene		259045	0	P02932					5809958.571344681	12978754147.034111
PM00119	260101	260158	-1	promoter	[b0241]	260101	0						0.0	12978754147.034111
b0242	260388	261491	1	gene		260388	0	P0A7B5	Glutamate 5-kinase OS=Escherichia coli (strain K12) GN=proB PE=1 SV=1	proB	39014.45918	517.914928361783	20206170.83128341	12998960317.865395
b0243	261503	262756	1	gene		261503	0	P07004	Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) GN=proA PE=1 SV=2	proA	44584.18081	518.0903933599168	23098635.773482554	13022058953.638878
PM00645	262841	262870	1	promoter	[b0244]	262841	0						0.0	13022058953.638878
b0244	262871	262946	1	gene		262871	0						5809958.571344681	13027868912.210222
b4626	263150	263212	-1	gene		263150	0						5809958.571344681	13033678870.781567
b0245	263328	263669	-1	gene		263328	0	P77692					5809958.571344681	13039488829.352911
b0246	263690	264007	-1	gene		263690	0	Q47684					5809958.571344681	13045298787.924255
b4504	264026	264247	-1	gene		264026	0	Q9XB42					5809958.571344681	13051108746.4956
b0247	264256	264732	-1	gene		264256	0	Q47685					5809958.571344681	13056918705.066944
